,ID,cell,AbsoluteC,mean_shift_clusters
383,P45011A1m,Astrocyte,0.8124089473387032,1
384,P5CDm,Astrocyte,0.8820849359342288,1
385,PCFLOPm,Astrocyte,0.066604353243011,0
386,PCREATtmdiffir,Astrocyte,0.003009838315991,0
387,PCm,Astrocyte,0.7692353146473482,2
388,PDHm,Astrocyte,0.1186744523325852,3
389,PEFLIP,Astrocyte,0.0620512292222026,0
390,PEFLIPInt,Astrocyte,0.0564462723172699,0
391,PEFLIPm,Astrocyte,0.0704579394530125,0
392,PETOHMmhs,Astrocyte,0.6517458498689986,2
393,PGCD,Astrocyte,0.0994480048212886,3
394,PGL,Astrocyte,0.050301534074179,0
395,PHCDm,Astrocyte,0.8497425500215481,1
396,PHCHGSm,Astrocyte,0.8035703453272577,1
397,PHEMEtm,Astrocyte,0.028443617372451,0
398,PHETA1m,Astrocyte,0.0083062225594351,0
399,PIt2m,Astrocyte,0.9624236501192068,1
400,PIt7,Astrocyte,0.0055586553074099,0
401,PIt7Int,Astrocyte,0.0027393691787017,0
402,PNTKm,Astrocyte,0.7155233693781211,2
403,PPA2m,Astrocyte,0.8566226027131124,1
404,PPAt,Astrocyte,0.0319945527440432,0
405,PPAtInt,Astrocyte,0.0131289894354843,0
406,PPAtm,Astrocyte,0.0731096493855853,3
407,PPBNGS,Astrocyte,0.0505681523947668,0
408,PPCOACm,Astrocyte,0.7634212234822497,2
409,PPCOAOm,Astrocyte,0.0024287842190101,0
410,PPPG9tm,Astrocyte,0.0031155940517489,0
411,PPPGOm,Astrocyte,0.1507036312613829,3
412,PRGNLONEtm,Astrocyte,0.0284204472289762,0
413,PRO1xm,Astrocyte,0.6889254436804648,2
414,PROD2m,Astrocyte,0.6538858078855242,2
415,PROt2r,Astrocyte,0.0509120552959996,0
416,PROt2rInt,Astrocyte,0.0428183574058629,0
417,PROtm,Astrocyte,0.0014343462555443,0
418,PRPNCOAHYDm,Astrocyte,0.1483804943625863,3
419,PSDmhs,Astrocyte,0.7113031281836322,2
420,PSERT,Astrocyte,0.0008893118049907502,0
421,PSFLIP,Astrocyte,0.0620512292222578,0
422,PSFLIPInt,Astrocyte,0.0564462723172305,0
423,PSFLIPm,Astrocyte,0.0655809986353126,0
424,PSPL,Astrocyte,0.0095655827086191,0
425,PYLALDOXm,Astrocyte,0.8560061859770981,1
426,PYRt2m,Astrocyte,0.8987472440656911,1
427,PYRt2r,Astrocyte,0.0511895021319037,0
428,PYRt2rInt,Astrocyte,0.0427341301698119,0
429,RPE,Astrocyte,0.0006536409614768388,0
430,RPI,Astrocyte,0.001459121560649,0
431,SACCD3m,Astrocyte,0.8551142463130158,1
432,SACCD4m,Astrocyte,0.837686973406523,1
433,SARCStex,Astrocyte,0.0286693469392194,0
434,SARCStexInt,Astrocyte,0.00306130050081,0
435,SARCStm,Astrocyte,0.0514306259158679,0
436,SARDHm,Astrocyte,0.0198861378707211,0
437,SERGLNexR,Astrocyte,0.0015745551636902,0
438,SERGLNexRInt,Astrocyte,0.000955734704149392,0
439,SERGLYexR,Astrocyte,0.0011372768200773,0
440,SERGLYexRInt,Astrocyte,0.0005854698561571553,0
441,SERt4,Astrocyte,0.0012808711775759,0
442,SERt4Int,Astrocyte,0.0011485508862269,0
443,SERtm,Astrocyte,0.0006617134264636611,0
444,SLDxm,Astrocyte,0.6918516707705797,2
445,SO4HCOtex,Astrocyte,0.0280072334536839,0
446,SO4HCOtexInt,Astrocyte,0.0006074576047997847,0
447,SPODMm,Astrocyte,0.6710899402426953,2
448,SSALxm,Astrocyte,0.8695676006156139,1
449,SUCCt2m,Astrocyte,0.0199540375279827,0
450,SUCD1m,Astrocyte,0.0023816102788554,0
451,SUCOAS1m,Astrocyte,0.0255818996497025,0
452,SUCOASm,Astrocyte,0.072807030913049,3
453,SULFOX,Astrocyte,0.0523847065486923,0
454,T2M26DCOAHLm,Astrocyte,0.1480130140038047,3
455,T4HCINNMFM,Astrocyte,0.1597091743997735,3
456,TALA,Astrocyte,0.0217508541172139,0
457,TCYNTt,Astrocyte,0.0318876564804234,0
458,TCYNTtInt,Astrocyte,0.0131081622652344,0
459,TCYNTtm,Astrocyte,0.0732160627123074,3
460,THD1m,Astrocyte,0.946406570819004,1
461,THFtm,Astrocyte,0.0121285743264181,0
462,TKT1,Astrocyte,0.011805525996672,0
463,TKT2,Astrocyte,0.0229700618104259,0
464,TMDK1m,Astrocyte,0.7286808769537625,2
465,TRDRm,Astrocyte,0.6468992997357709,2
466,TYRTAm,Astrocyte,0.0158052379967195,0
467,UPP3S,Astrocyte,0.0042836415281205,0
468,UPPDC1,Astrocyte,0.0549811975236807,0
469,UREAt,Astrocyte,0.0319759812733321,0
470,UREAtInt,Astrocyte,0.0131428566182205,0
471,UREAtm,Astrocyte,0.0731880988585033,3
472,VALTA,Astrocyte,0.0191019871178034,0
473,VALTAm,Astrocyte,0.00963827432307,0
474,VALt5m,Astrocyte,0.000373537272819144,0
475,VALtec,Astrocyte,0.0165516925952026,0
476,VALtecInt,Astrocyte,0.0008193435377039203,0
477,VITD2Hm,Astrocyte,0.8102657574454655,1
478,VITD2tm,Astrocyte,0.0284191629626974,0
479,VITD3Hm,Astrocyte,0.810256078583206,1
480,VITD3tm,Astrocyte,0.0044704507827039,0
481,VITD3tm3,Astrocyte,0.0044704507823536,0
