ID,gene,cell
CKNeuron,5105,Neuron
CO2tNeuron,,Neuron
CO2tmNeuron,,Neuron
CO2tmNeuron,,Neuron
COQ3mNeuron,51805,Neuron
COQ3mNeuron,51805,Neuron
COQ5mNeuron,84274,Neuron
COQ6mNeuron,51004,Neuron
COQ6mNeuron,51004,Neuron
COQ6mNeuron,51004,Neuron
COQ7mNeuron,10229,Neuron
COQ7mNeuron,10229,Neuron
COUCOAFmNeuron,,Neuron
CPPPGONeuron,1371,Neuron
CPPPGONeuron,1371,Neuron
CRNtNeuron,788,Neuron
CRNtNeuron,6510,Neuron
CRNtNeuron,6584,Neuron
CRNtNeuron,6583,Neuron
CRNtNeuron,788,Neuron
CRNtNeuron,6584,Neuron
CRNtimNeuron,788,Neuron
CRNtimNeuron,6510,Neuron
CRNtimNeuron,6584,Neuron
CRNtimNeuron,6583,Neuron
CRNtimNeuron,788,Neuron
CRNtimNeuron,788,Neuron
CRNtimNeuron,788,Neuron
CSNAT2mNeuron,1384,Neuron
CSNAT2mNeuron,1384,Neuron
CSNATmNeuron,1384,Neuron
CSNATmNeuron,1384,Neuron
CSmNeuron,84532,Neuron
CSmNeuron,1431,Neuron
CSmNeuron,1431,Neuron
CSmNeuron,160728,Neuron
CSmNeuron,1576,Neuron
CSmNeuron,1558,Neuron
CSmNeuron,1565,Neuron
CSmNeuron,1577,Neuron
CSmNeuron,5446,Neuron
CSmNeuron,84532,Neuron
CSmNeuron,1431,Neuron
CYANSTmNeuron,7263,Neuron
CYANtNeuron,,Neuron
CYANtmNeuron,,Neuron
CYANtmNeuron,,Neuron
CYSGLUexRNeuron,6520,Neuron
CYSGLUexRNeuron,56301,Neuron
CYSGLUexRNeuron,8140,Neuron
CYSGLUexRNeuron,6520,Neuron
CYSGLUexRNeuron,56301,Neuron
CYSGLYexRNeuron,6520,Neuron
CYSGLYexRNeuron,56301,Neuron
CYSGLYexRNeuron,23428,Neuron
CYSGLYexRNeuron,23428,Neuron
CYSGLYexRNeuron,6520,Neuron
CYSGLYexRNeuron,56301,Neuron
CYSONeuron,1036,Neuron
CYSONeuron,1036,Neuron
CYSTAmNeuron,2805,Neuron
CYSTAmNeuron,11136,Neuron
CYSTAmNeuron,6519,Neuron
CYSTAmNeuron,2806,Neuron
CYStecNeuron,124935,Neuron
CYStecNeuron,124935,Neuron
CYTK1mNeuron,129607,Neuron
CYTK1mNeuron,51727,Neuron
CYTK1mNeuron,51727,Neuron
CYTK1mNeuron,129607,Neuron
CYTK1mNeuron,51727,Neuron
D-LACt2Neuron,6566,Neuron
D-LACt2Neuron,9194,Neuron
D-LACt2Neuron,9123,Neuron
D-LACtmNeuron,6566,Neuron
DDPGAmNeuron,,Neuron
DECDPtmNeuron,,Neuron
DGNSKmNeuron,1716,Neuron
DGNSKmNeuron,1716,Neuron
DGNSKmNeuron,1716,Neuron
DGNSKmNeuron,1716,Neuron
DGNSKmNeuron,1716,Neuron
DGNSKmNeuron,1716,Neuron
DGSNtNeuron,3177,Neuron
DGSNtmNeuron,3177,Neuron
DGSNtmNeuron,,Neuron
DHDPBMTmNeuron,51805,Neuron
DHDPBMTmNeuron,51805,Neuron
DHFtmNeuron,,Neuron
DMGDHmNeuron,29958,Neuron
DMGDHmNeuron,29958,Neuron
DMGtmNeuron,,Neuron
DPHMBDCmNeuron,,Neuron
DURIK1mNeuron,7083,Neuron
DURIK1mNeuron,7084,Neuron
DURIK1mNeuron,7084,Neuron
DURIK1mNeuron,7084,Neuron
DURIK1mNeuron,7084,Neuron
DUTPDPmNeuron,3704,Neuron
DUTPDPmNeuron,1854,Neuron
DUTPDPmNeuron,1854,Neuron
DUTPDPmNeuron,3704,Neuron
DUTPDPmNeuron,1854,Neuron
DUTPDPmNeuron,1854,Neuron
ECOAH12mNeuron,3032,Neuron
ECOAH12mNeuron,3030,Neuron
ECOAH12mNeuron,1892,Neuron
ECOAH12mNeuron,3030,Neuron
ECOAH12mNeuron,3032,Neuron
ECOAH12mNeuron,1892,Neuron
ECOAH1mNeuron,3032,Neuron
ECOAH1mNeuron,3030,Neuron
ECOAH1mNeuron,1892,Neuron
ECOAH1mNeuron,549,Neuron
ECOAH1mNeuron,3030,Neuron
ECOAH1mNeuron,3032,Neuron
ECOAH1mNeuron,549,Neuron
ECOAH1mNeuron,1892,Neuron
ECOAH9mNeuron,3032,Neuron
